Index,SMILES,ST Gap,HL Gap,S1,T1
1,N#Cc1ccc(-n2ccc3ccccc32)cc1C#N,0.4769,3.643334346,3.1528,2.6759
2,c1ccc(-c2ccc(-n3ccc4ccccc43)cn2)nc1,0.6365,3.955721218,3.4851,2.8486
3,c1ccc2c(c1)ccn2-c1coc2nc3occc3nc12,0.4045,3.416935498,2.8743,2.4698
4,c1cnc2c(c1)[SiH2:2]c1cc(-n3ccc4ccccc43)cnc1-2,0.5944,3.85721595,3.3791,2.7847
5,c1ccc2c(-c3ncon3)coc2c1,1.5377,4.803900556,4.4276,2.8899
6,c1ccc2c(-c3ccnnc3)coc2c1,0.78,4.62729857,3.495,2.715
7,c1ccc2c(-c3nccc4[nH]ccc34)coc2c1,1.3786,4.640632156,4.2515,2.8729
8,N#Cc1ccc(-c2coc3ccccc23)c(C#N)c1,0.9159,4.100485866,3.6187,2.7028
9,c1cncc(-c2ccc(-c3coc4ccccc34)cc2)c1,1.268,4.550290308,4.1768,2.9088
10,c1ccc2c(-c3c4nc[nH]c4cc4[nH]cnc34)coc2c1,1.2634,4.108649286,3.776,2.5126
11,c1ccc2c(c1)Cc1cc(-c3coc4ccccc34)ccc1-2,1.3368,4.459404232,4.1356,2.7988
12,c1ccc2c(-c3ccc4c(c3)oc3ccccc34)coc2c1,1.2473,4.457499434,4.1094,2.8621
13,c1ccc2c(-c3cncc4c3[nH]c3ccncc34)coc2c1,1.1932,4.812063976,4.2666,3.0734
14,c1ccc2c(-c3cnc4oc5ncccc5c4c3)coc2c1,0.692,4.257495644,3.724,3.032
15,c1cnc2c(c1)[SiH2:2]c1ccc(-c3coc4ccccc34)cc1-2,1.0525,4.354640342,3.8784,2.8259
16,Cn1cnnc1-n1ccc2cnccc21,1.5412,5.322277726,4.8003,3.2591
17,c1cc2c(ccn2-c2cncs2)cn1,0.8896,4.71573562,4.0835,3.1939
18,O=C1C=CC(=O)C(n2ccc3cnccc32)=C1,0.3503,2.38371864,1.8244,1.4741
19,N#Cc1ccc(-n2ccc3cnccc32)cc1C#N,0.4833,3.780751916,3.2704,2.7871
20,c1cc(-n2ccc3cnccc32)c2nccnc2c1,0.3674,3.363601154,2.7872,2.4198
21,N#Cc1cc(C#N)c(-n2ccc3cnccc32)c(C#N)c1,0.2536,3.419384524,2.8076,2.554
22,CS(=O)(=O)c1ccc(-n2ccc3cnccc32)cc1,0.7583,4.522262566,3.95,3.1917
23,c1cnc(-c2ccc(-n3ccc4cnccc43)cc2)cn1,0.6387,3.938033808,3.5105,2.8718
24,c1ccc(-c2ccc(-n3ccc4cnccc43)cn2)nc1,0.7187,4.130146292,3.6392,2.9205
25,c1cc2c(ccn2-c2nc3cc4ncoc4nc3o2)cn1,0.8526,4.380491172,3.9452,3.0926
26,Fc1c(F)c(F)c(-n2ccc3cnccc32)c(F)c1F,0.9043,4.76879785,4.1522,3.2479
27,O=C(c1ccc(-n2ccc3cnccc32)cc1)C(F)(F)F,0.4886,3.630272874,3.1936,2.705
28,c1cnc2ncc(-n3cnc4ccccc43)cc2c1,0.619,4.003341168,3.4615,2.8425
29,c1ccc2c(c1)ncn2-c1cccc2sccc12,1.1547,4.75111044,4.2017,3.047
30,N#Cc1cc(C#N)c(-n2cnc3ccccc32)c(C#N)c1,0.2787,3.634898812,3.0294,2.7507
31,c1ccc(-c2ccc(-n3cnc4ccccc43)cc2)nc1,0.9608,4.386205566,3.9453,2.9845
32,c1ccc2c(c1)ncn2-c1c2ccoc2cc2ccoc12,1.3047,4.467567652,4.0506,2.7459
33,c1ccc2c(c1)ncn2-c1c2nc[nH]c2cc2[nH]cnc12,0.9762,4.27899265,3.7925,2.8163
34,c1ccc2c(c1)ncn2-c1nc2cc3ncoc3nc2o1,0.845,4.470288792,4.0414,3.1964
35,Cn1cnnc1-c1nc2ccccc2o1,1.4043,4.743219134,4.4465,3.0422
36,c1ccc2oc(-c3cncc4nccnc34)nc2c1,0.8988,3.5102706,3.1203,2.2215
37,Fc1ccc(-c2nc3ccccc3o2)c(F)c1F,1.3773,4.500221332,4.2286,2.8513
38,CS(=O)(=O)c1ccc(-c2nc3ccccc3o2)cc1,1.2621,4.327156828,4.0293,2.7672
39,c1ccc2oc(-c3c[nH]c4nc5occc5nc34)nc2c1,0.804,3.851229442,3.3533,2.5493
40,c1ccc2oc(-c3c4[nH]cnc4nc4nc[nH]c34)nc2c1,1.0988,3.984021074,3.6157,2.5169
41,c1ccc2oc(-c3nc4nc5ocnc5nc4o3)nc2c1,1.1503,3.722791634,3.5161,2.3658
42,c1ccc2oc(-c3nc4nc5ncoc5nc4o3)nc2c1,1.0905,3.819664218,3.5743,2.4838
43,c1cnc2c(c1)-c1cc(-c3nc4ccccc4o3)cnc1[SiH2:2]2,1.0623,4.178854698,3.6901,2.6278
44,O=[SH](=O)n1nnc2ccccc21,1.4478,5.253977112,4.6815,3.2337
45,c1ccc2c(c1)nnn2-c1nnc[nH]1,1.2247,4.771246876,4.3038,3.0791
46,c1ccc2c(c1)nnn2-c1nnco1,1.2186,4.873289626,4.3701,3.1515
47,c1ccc2c(c1)nnn2-c1nnn[nH]1,1.2413,4.882541502,4.3741,3.1328
48,Cn1cnnc1-n1nnc2ccccc21,1.2321,4.784852576,4.3159,3.0838
49,c1ccc2c(c1)nnn2-c1nncs1,1.0921,4.641992726,4.1468,3.0547
50,Cn1cnc2c(-n3nnc4ccccc43)cccc21,1.1213,4.68988479,4.2049,3.0836
51,c1ccc2c(c1)nnn2-c1cccc2scnc12,0.9559,4.613420756,4.0483,3.0924
52,FC(F)(F)c1cccc(-n2nnc3ccccc32)c1,1.2476,4.912474042,4.407,3.1594
53,c1ccc(-c2ccc(-n3nnc4ccccc43)cn2)nc1,1.0553,4.415321764,3.9714,2.9161
54,c1ccc2c(c1)nnn2-c1c[nH]c2nc3occc3nc12,0.7202,3.867284168,3.2864,2.5662
55,O=C(c1ccc(-n2nnc3ccccc32)cc1)C(F)(F)F,0.8744,4.116268478,3.7114,2.837
56,c1cnc2c(c1)ccc1c(-n3nnc4ccccc43)ccnc12,1.1463,4.594372776,3.9208,2.7745
57,c1cnc2c(c1)-c1cc(-n3nnc4ccccc43)cnc1[SiH2:2]2,1.0325,4.561446982,3.9304,2.8979
58,CN(C)c1ccc(C(F)(F)F)cc1,1.1521,5.368264992,4.6511,3.499
59,CN(C)c1ccc(-c2cccnc2)cc1,1.0375,4.48715986,4.0786,3.0411
60,CN(C)c1ccc(C2=CC(=O)C=CC2=O)cc1,0.5669,2.255008718,1.8979,1.331
61,CN(C)c1ccc(-c2cccc3ccccc23)cc1,1.0437,4.100213752,3.6369,2.5932
62,CN(C)c1ccc(-c2cnc3cnccc3c2)cc1,0.7161,3.649592968,3.2592,2.5431
63,CN(C)c1ccc(-c2cnc3cccnc3c2)cc1,0.6233,3.570407794,3.173,2.5497
64,CN(C)c1ccc(-c2ccc(-c3cccnc3)cc2)cc1,0.8615,4.02592663,3.6804,2.8189
65,CN(C)c1ccc(-c2ccc(-c3ccccn3)nc2)cc1,0.7981,3.791364362,3.4565,2.6584
66,CN(C)c1ccc(-c2ccc3c(c2)oc2ccccc23)cc1,0.8771,4.006334422,3.6594,2.7823
67,CC1c2ccccc2-c2ccc(-c3ccc(N(C)C)cc3)cc21,0.98,4.056947626,3.712,2.732
68,CN(C)c1ccc(-c2ccc3c(c2)-c2ccncc2[SiH2:2]3)cc1,0.5877,3.749186692,3.3361,2.7484
69,CN(C)c1ccc(-c2ccc3c(c2)-c2cccnc2[SiH2:2]3)cc1,0.7355,3.886876376,3.4881,2.7526
70,CN(C)c1ccc(-c2cnc3c(c2)-c2cccnc2[SiH2:2]3)cc1,0.7119,3.845787162,3.4439,2.732
71,c1cc2cc(-c3nnn[nH]3)ccc2cn1,1.4246,4.45314561,4.0097,2.5851
72,c1cc2cc(-c3nccc4[nH]ccc34)ccc2cn1,1.2053,4.20824301,3.7974,2.5921
73,c1cc(-c2ccc3cnccc3c2)c2nccnc2c1,0.8578,3.934496326,3.3912,2.5334
74,Fc1ccc(-c2ccc3cnccc3c2)c(F)c1F,1.4605,4.537228836,4.1146,2.6541
75,O=c1cc[nH]c2cc(-c3ccc4cnccc4c3)ccc12,0.9007,4.113819452,3.5497,2.649
76,FC(F)(F)c1cccc(-c2ccc3cnccc3c2)c1,1.4411,4.544575914,4.1039,2.6628
77,c1cc2cc(-c3coc4nc5occc5nc34)ccc2cn1,0.9943,4.01640264,3.505,2.5107
78,c1cc2cc(-c3nc4nc5ncoc5cc4o3)ccc2cn1,1.2179,4.032185252,3.6928,2.4749
79,c1cc2cc(-c3ccc4c(c3)[nH]c3cnccc34)ccc2cn1,1.0327,4.151371184,3.6586,2.6259
80,c1cnc2oc3cc(-c4ccc5cnccc5c4)ccc3c2c1,1.2777,4.227018876,3.8835,2.6058
81,CC1c2ccccc2-c2ccc(-c3ccc4cnccc4c3)cc21,1.1777,4.129602064,3.7666,2.5889
82,c1cc2c(cn1)-c1cncc(-c3ccc4cnccc4c3)c1[SiH2:2]2,1.2236,4.427022666,3.8991,2.6755
83,c1cc(-c2nnco2)c2cccnc2c1,1.4808,4.354096114,3.9926,2.5118
84,c1cc(-c2ncon2)c2cccnc2c1,1.5057,4.513282804,4.0973,2.5916
85,c1cc(-c2nnn[nH]2)c2cccnc2c1,1.4094,4.543215344,4.0593,2.6499
86,c1cc(-c2ncncn2)c2cccnc2c1,1.258,4.165248998,3.7367,2.4787
87,c1cc(-c2nccc3[nH]ccc23)c2cccnc2c1,1.1867,4.30076177,3.8331,2.6464
88,N#Cc1ccc(-c2cccc3ncccc23)c(C#N)c1,0.9743,4.331238538,3.7215,2.7472
89,c1cc(-c2cccc3scnc23)c2cccnc2c1,1.3296,4.47219359,4.0086,2.679
90,N#Cc1ccc(-c2cccc3ncccc23)c(C#N)c1C#N,0.6831,3.995721976,3.413,2.7299
91,c1cnc(-c2ccc(-c3cccc4ncccc34)cc2)nc1,1.2014,4.261849468,3.8562,2.6548
92,c1cc(-c2nc3nc4ncoc4cc3o2)c2cccnc2c1,1.2364,3.905652242,3.6104,2.374
93,c1cc(-c2ccc3c(c2)[nH]c2ncccc23)c2cccnc2c1,1.1489,4.291509894,3.8293,2.6804
94,c1cc(-c2cccc3c2cnc2ccccc23)c2cccnc2c1,1.167,4.487976202,3.9041,2.7371
95,c1cnc2c(c1)-c1cc(-c3cccc4ncccc34)cnc1[SiH2:2]2,1.1857,4.467295538,3.8893,2.7036
96,c1cnc2nccc(-c3nnn[nH]3)c2c1,0.7091,4.562807552,3.5003,2.7912
97,c1cnc2nccc(-c3nccc4[nH]ccc34)c2c1,0.8903,4.274366712,3.6591,2.7688
98,c1cnc2ncc(-c3ccnc4ncccc34)cc2c1,0.8266,4.527160618,3.6501,2.8235
99,c1cnc2cc(-c3ccnc4ncccc34)cnc2c1,0.7971,4.49940499,3.6073,2.8102
100,c1cnc2nccc(-c3cncc4nccnc34)c2c1,0.6341,4.041437128,3.2666,2.6325
101,c1cc(-c2ccnc3ncccc23)c2ccsc2c1,0.8464,4.265931178,3.7025,2.8561
102,N#Cc1cc(C#N)c(-c2ccnc3ncccc23)c(C#N)c1,0.581,4.201168046,3.5215,2.9405
103,c1cnc2nccc(-c3c4ccoc4cc4ccoc34)c2c1,0.7757,3.995177748,3.4411,2.6654
104,c1cnc2nccc(-c3c4ncoc4cc4ncoc34)c2c1,0.8478,4.57287577,3.6919,2.8441
105,c1cnc2nccc(-c3nc4cc5ncoc5nc4o3)c2c1,0.826,4.014769956,3.3047,2.4787
106,c1cnc2nccc(-c3ccc4c(c3)[nH]c3cnccc34)c2c1,0.7449,4.101030094,3.6001,2.8552
107,CC(=O)c1ccc(C2=CC(C)c3ccccc32)cc1,1.0468,4.19735845,3.665,2.6182
108,CC1C=C(c2cnc3ncccc3c2)c2ccccc21,0.9182,4.071369668,3.5386,2.6204
109,CC1C=C(c2cccc(C(F)(F)F)c2)c2ccccc21,1.59,4.742402792,4.3331,2.7431
110,CC1C=C(c2c3nc[nH]c3cc3[nH]cnc23)c2ccccc21,1.2454,4.202528616,3.7677,2.5223
111,CC1C=C(c2nc3cc4ncoc4nc3o2)c2ccccc21,1.3828,4.054770714,3.7408,2.358
112,CC1C=C(c2ccc3c(c2)[nH]c2ncccc23)c2ccccc21,1.2745,4.318177066,3.9439,2.6694
113,CC1C=C(c2cncc3c2[nH]c2ccncc23)c2ccccc21,1.3824,4.57287577,4.1095,2.7271
114,O=[SH](=O)c1ccnc2cnncc12,0.3108,3.86946108,2.9005,2.5897
115,c1cc(-c2nnc[nH]2)c2cnncc2n1,0.2787,3.798167212,2.884,2.6053
116,O=Cc1ccc(-c2ccnc3cnncc23)cc1,0.3107,3.94293186,3.1048,2.7941
117,c1cc(-c2ccnc3cnncc23)c2ncoc2c1,0.3692,4.114635794,3.1849,2.8157
118,c1ccc2c(-c3ccnc4cnncc34)cncc2c1,0.5172,4.13205109,3.1772,2.66
119,c1cc(-c2ccnc3cnncc23)c2cnncc2n1,0.2992,3.879529298,3.0469,2.7477
120,c1ccc(-c2ccc(-c3ccnc4cnncc34)cc2)nc1,0.4188,4.114907908,3.1926,2.7738
121,c1cc(-c2c3[nH]cnc3nc3nc[nH]c23)c2cnncc2n1,0.4249,3.664831352,3.084,2.6591
122,c1cc(-c2nc3nc4ncoc4nc3o2)c2cnncc2n1,0.194,3.267272798,2.5327,2.3387
123,O=C(c1ccc(-c2ccnc3cnncc23)cc1)C(F)(F)F,0.2732,3.7415675,3.026,2.7528
124,c1cnc2sc3ncc(-c4ccnc5cnncc45)cc3c2c1,0.35,4.14837793,3.183,2.833
125,Cn1ccc2c(-c3ncns3)cccc21,0.9979,3.86946108,3.4426,2.4447
